Municipio;Nombre;Detalles;Comentario;Referencia
tres cantos;Casa Emeterio;Asador, Restaurante de carne, Mediterránea, Española;Tuvimos un pequeño malentendido en el dia de la reserva pero el encargado lo resolvió de maravilla, nos puso unas cervezas en la terraza y un aperitivo para amenizar la espera. Y nos buscó una mesa rapidamente. Estos pequeños detalles marcan la diferencia, de un...gran servicio. Los torreznos y las alcachofas buenisimos, el cordero increible, sabroso y tierno, con sus patatas panaderas. Tenía muchas ganas de descubrir un lugar asi y cerca de Madrid, sin duda repetiremos.Más;https://www.tripadvisor.es/Restaurant_Review-g562662-d2724132-Reviews-Casa_Emeterio-Tres_Cantos.html
tres cantos;La Terraza de Alba;Española, Tienda gourmet, Contemporánea, Mediterránea, Europea;Nos lleva una pareja que se lo habia recomendado su hijo, nos sorprenden gratamente, tanto por la calidad de los platos, las viandas, como por la presentación, originales y simpaticas, salimos gratamente sorprendidos, si le tuviera que poner alguna pega, los que me conoceis sabeis...que soy un poco especial, seria un poco la lentitud en el servicio, no solo entre plato y plato, tambien a la hora de servir el vino, el complemento de algún plato y algo mas, compensado todo ello por el buen yantar del lugar.Más;https://www.tripadvisor.es/Restaurant_Review-g562662-d2315133-Reviews-La_Terraza_De_Alba-Tres_Cantos.html
tres cantos;La Bocatoma Sabor Venezolano;6 € - 10 €;Pedimos varios platos y nos encantaron todos. Son buenas cantidades y bien presentadas. Además nos sentimos muy cómodos y el servicio fue muy bueno. Volveremos seguro !!;https://www.tripadvisor.es/Restaurant_Review-g562662-d8640014-Reviews-La_Bocatoma_Sabor_Venezolano-Tres_Cantos.html
tres cantos;Nawab Indian Cuisine;India, Asiática;"Acabo de estar con mi pareja para comer
.He estado en muchos restaurantes indus.Con diferencia es el mejor en la comida y el trato..No me lo esperaba.Repetiremos";https://www.tripadvisor.es/Restaurant_Review-g562662-d16211176-Reviews-Nawab_Indian_Cuisine-Tres_Cantos.html
tres cantos;Casa Loren;20 € - 35 €;Cada una de mis visitas a este sitio me deja con un  sabor muy agradable y ganas de volver. Todo está cuidado al detalle, los platos son magníficos y la atención no puede ser mejor. Elegante sin abrumar, exquisito. Platos  con toques diferentes y siempre...acertados en un ambiente acogedor y tranquilo. No se puede pedir más.Más;https://www.tripadvisor.es/Restaurant_Review-g562662-d10457839-Reviews-Casa_Loren-Tres_Cantos.html
tres cantos;La churrasquita;11 € - 30 €;Sitio genial para comer carnes a la brasa, muy bueno todo, entrantes y platos principales. La atención muy amable también. Los postres, sin embargo, creo que no están a la altura.;https://www.tripadvisor.es/Restaurant_Review-g562662-d4187836-Reviews-La_Churrasquita-Tres_Cantos.html
tres cantos;La Sarten restaurante;Contemporánea, Fusión;"Platos asiáticos con toque mediterráneo muy elaborados. 
Calidad/precio muy bien.
Servicio bueno. Un poco lento pero camareros muy atentos y profesionales. 
Gyozas y fideuá, exquisitos.";https://www.tripadvisor.es/Restaurant_Review-g562662-d4877525-Reviews-La_sarten_restaurante-Tres_Cantos.html
tres cantos;Pasteleria Artesanal Manolo;Café;Creo que no es necesario hacer énfasis en sus mundialmente conocido manolitos, sin embargo es una lástima que esto se quede ahi.;https://www.tripadvisor.es/Restaurant_Review-g562662-d4971947-Reviews-Pasteleria_Artesanal_Manolo-Tres_Cantos.html
tres cantos;Shoopo Home Bar;20 € - 25 €;Carta con algunos platos  muy originales, de lo que pedimos, el humus de berenjena lo volveremos a pedir en la próxima visita. La materia prima se nota de calidad. El local decorado con gusto. Todo un acierto, volveremos para probar el resto de la carta...que nos ha llamado la atención. La comanda adjunta fue para dos personas.Más;https://www.tripadvisor.es/Restaurant_Review-g562662-d8779721-Reviews-Shoopo_HomeBar-Tres_Cantos.html
tres cantos;Mary Carmen;Mediterránea, Europea, Española;La característica que más lo define es la abundancia en la comida. Sin embargo, es un lugar muy ruidoso que hace no estar a gusto del todo de sobremesa.;https://www.tripadvisor.es/Restaurant_Review-g562662-d4216769-Reviews-Mary_Carmen-Tres_Cantos.html
