Municipio;Nombre;Detalles;Referencia
colmenar viejo;De Lucas Restaurante;Mediterránea, Española;https://www.tripadvisor.es/Restaurant_Review-g1063662-d10915794-Reviews-De_Lucas_Restaurante-Colmenar_Viejo.html
colmenar viejo;Casa Ferreira;Española, Mediterránea;https://www.tripadvisor.es/Restaurant_Review-g1063662-d4924547-Reviews-Casa_Ferreira-Colmenar_Viejo.html
colmenar viejo;Lamadrid;20 € - 40 €;https://www.tripadvisor.es/Restaurant_Review-g1063662-d11705898-Reviews-Lamadrid-Colmenar_Viejo.html
colmenar viejo;Restaurante Mexicano Limón y Sal;Mexicana;https://www.tripadvisor.es/Restaurant_Review-g1063662-d13298674-Reviews-Restaurante_Mexicano_Limon_y_Sal-Colmenar_Viejo.html
colmenar viejo;PASTELERÍA ARTESANAL MANOLO E HIJOS;Café;https://www.tripadvisor.es/Restaurant_Review-g1063662-d7086387-Reviews-PASTELERIA_ARTESANAL_MANOLO_E_HIJOS-Colmenar_Viejo.html
colmenar viejo;la taberna de Manolo;Americana;https://www.tripadvisor.es/Restaurant_Review-g1063662-d3947061-Reviews-La_taberna_de_Manolo-Colmenar_Viejo.html
colmenar viejo;Restaurante Casa Abilio;Española, Mediterránea;https://www.tripadvisor.es/Restaurant_Review-g1063662-d2703008-Reviews-Casa_Abilio-Colmenar_Viejo.html
colmenar viejo;La Sede Restaurante;Mediterránea, Española;https://www.tripadvisor.es/Restaurant_Review-g1063662-d7254740-Reviews-La_Sede_Restaurante-Colmenar_Viejo.html
colmenar viejo;Hamburgueseria de Teresa;Cenas, Comidas;https://www.tripadvisor.es/Restaurant_Review-g1063662-d7714217-Reviews-Hamburgueseria_de_Teresa-Colmenar_Viejo.html
colmenar viejo;Tarifa;Mediterránea, Española;https://www.tripadvisor.es/Restaurant_Review-g1063662-d2719747-Reviews-Tarifa-Colmenar_Viejo.html
